,,,Apr-14,,,,,,,,,,,,,,Apr-14,,,,,,,,,,,,,,Apr-14,,,,,,,,,,,
359,"IPIL, ZAMBOANGA SIBUGAY",9,0,0,4.4,0,0,0,10.2,0,0,0,14.6,359,"IPIL, ZAMBOANGA SIBUGAY",9,0,12.4,1.4,0,23.6,44,1.2,21,22.8,0,126.4,359,"IPIL, ZAMBOANGA SIBUGAY",9,0,0,11.4,0,0,0,25.6,77.8,0,0,114.8,255.8
896,"BARILI, CEBU",7,0,0,0,0,0,9.6,0,0.8,1.4,0,11.8,896,"BARILI, CEBU",7,0,1.8,66.8,29.8,19.2,0.2,0,0,9,0,126.8,896,"BARILI, CEBU",7,0,0,0,0,0,0,0,0,0,0,0,138.6
878,"SEN. NINOY AQUINO, SULTAN KUDARAT",12,0,0,0,0,0,0,0,0,0,0.2,0.2,878,"SEN. NINOY AQUINO, SULTAN KUDARAT",12,0.2,0,1.8,0.2,0,0,0,13.6,28.4,0,44.2,878,"SEN. NINOY AQUINO, SULTAN KUDARAT",12,11.2,1.4,0.8,0.2,10.2,0.6,0,1.2,14.6,31.2,71.4,115.8
1079,"PINAMALAYAN, ORIENTAL MINDORO",4-B,0,0,0.4,0,0.8,0.4,36,3.8,0.2,0,41.6,1079,"PINAMALAYAN, ORIENTAL MINDORO",4-B,0,0,0,0,17.4,0.6,0,0,0,0,18,1079,"PINAMALAYAN, ORIENTAL MINDORO",4-B,0,0,0,0,0,0,0,0,0,0,0,59.6
1141,"STA. BARBARA - ILOILO, ILOILO",6,0,0,0,0,0,0,0,0,0,0,0,1141,"STA. BARBARA - ILOILO, ILOILO",6,0,0,0,5,5.6,0,0,0,0,0,10.6,1141,"STA. BARBARA - ILOILO, ILOILO",6,0,1.7,3.3,0,0,0,0,0,0,0,5,15.6
903,"BOTOLAN, ZAMBALES",3,0,0,0,0,0,0,0,0,0,0,0,903,"BOTOLAN, ZAMBALES",3,0,0,0,2.6,0,0,0,0,0,2.2,4.8,903,"BOTOLAN, ZAMBALES",3,0,0,0,0,14.6,0,0,0,0,0,14.6,19.4
927,"BAGO CITY, NEGROS OCCIDENTAL",6,0,0,0,0,0,0,1.4,0,0,0,1.4,927,"BAGO CITY, NEGROS OCCIDENTAL",6,0,0,28.2,60.6,50,0,0,0.4,0.4,0,139.6,927,"BAGO CITY, NEGROS OCCIDENTAL",6,0,0,0,5,0,0,38,37,0,0,80,221
316,"STO TOMAS, DAVAO DEL NORTE",11,,,,0,0,0,0,1,4,0.2,5.2,316,"STO TOMAS, DAVAO DEL NORTE",11,1.8,18.8,2,14.4,4.2,19.8,38.8,26.8,57.8,3.6,188,316,"STO TOMAS, DAVAO DEL NORTE",11,0,6,0,33.2,0.2,0,0,67,3.4,65.2,175,368.2
879,"TACURONG CITY, SULTAN KUDARAT",12,0,0,0,0,0,5.1,0,0,0,0,5.1,879,"TACURONG CITY, SULTAN KUDARAT",12,0,3.4,0,11.8,5.1,10.2,0,27.2,1.2,3.8,62.7,879,"TACURONG CITY, SULTAN KUDARAT",12,1.8,0,1,0,4.8,0,5.1,9.2,0,0,21.9,89.7
866,"GUINSILIBAN, CAMIGUIN",10,0,0,0,0,1,17.4,4.6,3.6,0.2,0.6,27.4,866,"GUINSILIBAN, CAMIGUIN",10,12,2,1.4,35.8,53.2,12,1.6,5.2,0,0,123.2,866,"GUINSILIBAN, CAMIGUIN",10,0,0,0,0,0,0,0,0,0,0,0,150.6
