,,,April 2016,,,,,,,,,,,,,,April 2016,,,,,,,,,,,,,,April 2016,,,,,,,,,,,
Station No.,Station Name,Region,1,2,3,4,5,6,7,8,9,10,Decadal,Station No.,Station Name,Region,11,12,13,14,15,16,17,18,19,20,Decadal,Station No.,Station Name,Region,21,22,23,24,25,26,27,28,29,30,Decadal,Total
987,"BASILAN, ISABELA CITY",9,0.0,0.0,0.0,0.0,0.0,0.0,1.4,0.0,0.0,0.0,1.4,987,"BASILAN, ISABELA CITY","9",0.0,6.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.2,18.8,987,"BASILAN, ISABELA CITY","9",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.2,20.2,40.4
376,"PIGCAWAYAN, COTABATO",12,,,,,,,,,,,,376,"PIGCAWAYAN, COTABATO","12",,,,,,,,,,,,376,"PIGCAWAYAN, COTABATO","12",,,,,,,,,,,,
919,"PATNONGON, ANTIQUE",6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,919,"PATNONGON, ANTIQUE","6",0.0,3.2,31.2,0.0,3.0,0.0,0.0,0.0,0.0,0.0,37.4,919,"PATNONGON, ANTIQUE","6",0.0,0.0,,,,,,,,,0,37.4
918,"SAN LUIS, AURORA",3,1.8,0.0,0.0,0.0,12.6,9.0,0.0,13.4,0.0,0.0,36.8,918,"SAN LUIS, AURORA","3",0.0,0.0,0.0,0.0,1.4,0.0,0.0,13.4,15.0,17.2,47,918,"SAN LUIS, AURORA","3",4.2,0.0,0.0,0.0,4.0,0.0,0.0,0.0,6.2,0.8,15.2,99
932,"SULTAN KUDARAT, MAGUINDANAO, MAGUINDANAO",ARMM,,,,,,,,,,,,932,"SULTAN KUDARAT, MAGUINDANAO, MAGUINDANAO","ARMM",,,,,,,,,,,,932,"SULTAN KUDARAT, MAGUINDANAO, MAGUINDANAO","ARMM",,,,,,,,,,,,
349,"SIQUIJOR, SIQUIJOR",7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,349,"SIQUIJOR, SIQUIJOR","7",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,349,"SIQUIJOR, SIQUIJOR","7",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,0
356,"KALAWIT, ZAMBOANGA DEL NORTE",9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8,0.0,1.8,356,"KALAWIT, ZAMBOANGA DEL NORTE","9",22.6,29.8,0.0,0.0,2.8,0.0,0.0,0.0,0.0,23.4,78.6,356,"KALAWIT, ZAMBOANGA DEL NORTE","9",0.2,0.0,8.2,25.8,0.6,0.0,0.0,0.0,69.6,0.0,104.4,184.8
924,"PANIT-AN, CAPIZ",6,,,,,,,,,,,,924,"PANIT-AN, CAPIZ","6",,,,,,,,,,,,924,"PANIT-AN, CAPIZ","6",,,,,,,,,,,,
872,"KALILANGAN, BUKIDNON",10,,,,,,,,,,,,872,"KALILANGAN, BUKIDNON","10",,,,,,,,,,,,872,"KALILANGAN, BUKIDNON","10",,,,,,,,,,,,
340,"SUAL, PANGASINAN",1,0.6,0.0,0.0,0.0,0.0,0.0,,,,,0.6,340,"SUAL, PANGASINAN","1",,,,,,,,,,,,340,"SUAL, PANGASINAN","1",,,,,,0.0,0.0,0.0,0.0,15.4,15.4,16
