,,,June 2018,,,,,,,,,,,,,,June 2018,,,,,,,,,,,,,,June 2018,,,,,,,,,,,
Station No.,Station Name,Region,1,2,3,4,5,6,7,8,9,10,Decadal,Station No.,Station Name,Region,11,12,13,14,15,16,17,18,19,20,Decadal,Station No.,Station Name,Region,21,22,23,24,25,26,27,28,29,30,Decadal,Total
924,"PANIT-AN, CAPIZ",6,0.0,0.0,0.0,0.0,0.0,8.0,8.2,26.2,0.0,0.0,42.4,924,"PANIT-AN, CAPIZ","6",,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,18,924,"PANIT-AN, CAPIZ","6",0.0,50.4,42.8,86.6,22.8,0.0,0.0,0.0,0.0,0.0,202.6,263
872,"KALILANGAN, BUKIDNON",10,18.0,0.0,0.0,0.0,1.4,0.6,0.0,0.0,0.0,0.0,20,872,"KALILANGAN, BUKIDNON","10",,0.0,4.6,15.2,0.0,2.6,0.0,24.0,0.0,34.2,80.6,872,"KALILANGAN, BUKIDNON","10",6.6,6.2,20.2,0.0,0.0,44.0,0.0,5.6,0.0,5.0,87.6,188.2
340,"SUAL, PANGASINAN",1,,,,,,,,,,,,340,"SUAL, PANGASINAN","1",,,,,,,,,,,,340,"SUAL, PANGASINAN","1",,,,,,,,,,,,
359,"IPIL, ZAMBOANGA SIBUGAY",9,0.6,8.4,0.0,0.0,0.0,16.0,0.0,,,,25,359,"IPIL, ZAMBOANGA SIBUGAY","9",,,,,,,,,,,,359,"IPIL, ZAMBOANGA SIBUGAY","9",,,,,0.0,7.2,0.0,0.0,0.0,,7.2,32.2
896,"BARILI, CEBU",7,4.8,0.0,0.0,0.2,15.0,1.6,1.4,0.0,0.0,0.0,23,896,"BARILI, CEBU","7",0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,2.8,0.2,3.4,896,"BARILI, CEBU","7",2.0,2.8,0.0,0.0,0.2,0.0,0.0,2.2,0.0,0.8,8,34.4
878,"SEN. NINOY AQUINO, SULTAN KUDARAT",12,,,,,,,,,,,,878,"SEN. NINOY AQUINO, SULTAN KUDARAT","12",,,,,,,,,,,,878,"SEN. NINOY AQUINO, SULTAN KUDARAT","12",,,,,,,,,,,,
1079,"PINAMALAYAN, ORIENTAL MINDORO",4-B,,,,,,,,,,,,1079,"PINAMALAYAN, ORIENTAL MINDORO","4-B",,,,,,,,,,,,1079,"PINAMALAYAN, ORIENTAL MINDORO","4-B",,,,,,,,0.0,0.0,,0,0
1141,"STA. BARBARA - ILOILO, ILOILO",6,,,,,,,,,,,,1141,"STA. BARBARA - ILOILO, ILOILO","6",,,,,,,,,,,,1141,"STA. BARBARA - ILOILO, ILOILO","6",,,,,,,,,,,,
903,"BOTOLAN, ZAMBALES",3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.2,406.8,580.6,1038.6,903,"BOTOLAN, ZAMBALES","3",0.0,5.4,64.6,14.6,19.8,190.2,199.4,758.4,31.8,126.2,1410.4,903,"BOTOLAN, ZAMBALES","3",0.0,107.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,227.8,335.2,2784.2
927,"BAGO CITY, NEGROS OCCIDENTAL",6,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,927,"BAGO CITY, NEGROS OCCIDENTAL","6",,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,927,"BAGO CITY, NEGROS OCCIDENTAL","6",0.0,0.4,0.0,0.0,27.2,10.4,3.2,0.0,4.0,0.8,46,46.2
316,"STO TOMAS, DAVAO DEL NORTE",11,,,,,,,,,,,,316,"STO TOMAS, DAVAO DEL NORTE","11",,0.0,0.0,,,,,,,,0,316,"STO TOMAS, DAVAO DEL NORTE","11",,,,,,,,,,,,0
879,"TACURONG CITY, SULTAN KUDARAT",12,,,,,,,0.0,0.0,0.0,0.0,0,879,"TACURONG CITY, SULTAN KUDARAT","12",,,10.2,2.0,0.0,1.0,0.0,0.4,0.0,0.2,13.8,879,"TACURONG CITY, SULTAN KUDARAT","12",0.0,11.2,4.6,0.0,0.2,0.0,16.0,12.0,0.0,22.4,66.4,80.2
866,"GUINSILIBAN, CAMIGUIN",10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,866,"GUINSILIBAN, CAMIGUIN","10",,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,866,"GUINSILIBAN, CAMIGUIN","10",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
372,"ROXAS, ISABELA",2,,,,,,,,,,,,372,"ROXAS, ISABELA","2",,,,,,,,,,,,372,"ROXAS, ISABELA","2",,,,,,,,,,,,
890,"ESPERANZA, AGUSAN DEL SUR",13,,,,,,,,,,,,890,"ESPERANZA, AGUSAN DEL SUR","13",,,,,,,,,,,,890,"ESPERANZA, AGUSAN DEL SUR","13",,,,,,,,,,,,
327,"STA. CRUZ - LAGUNA, LAGUNA",4-A,,,,,,,,,,,,327,"STA. CRUZ - LAGUNA, LAGUNA","4-A",,,,,,,,,,,,327,"STA. CRUZ - LAGUNA, LAGUNA","4-A",,13.2,,,,,,,,,13.2,13.2
917,"CALINOG, ILOILO",6,13.0,65.4,0.0,0.0,5.2,2.0,7.4,17.2,2.0,0.0,112.2,917,"CALINOG, ILOILO","6",,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.6,6.4,9,917,"CALINOG, ILOILO","6",0.0,0.0,0.0,40.6,12.6,1.6,0.2,0.0,0.6,6.2,61.8,183
1128,"ALCANTARA, ROMBLON",4-B,,,,,,,,,,,,1128,"ALCANTARA, ROMBLON","4-B",,,,,,,,,,,,1128,"ALCANTARA, ROMBLON","4-B",,,,,,,,,,,,
503,"AGLIPAY, QUIRINO",2,,,,,,,,,,,,503,"AGLIPAY, QUIRINO","2",,,,,,,,,,,,503,"AGLIPAY, QUIRINO","2",,,,,,,,,,,,
1324,"VILLAREAL, SAMAR",8,,,,,,,,,,,,1324,"VILLAREAL, SAMAR","8",,,,,,,,,,,,1324,"VILLAREAL, SAMAR","8",,,,,,,,,,,,
379,"SAN JOSE - CAMARINES SUR, CAMARINES SUR",5,,,,,,,,,,,,379,"SAN JOSE - CAMARINES SUR, CAMARINES SUR","5",,,,,,,,,,,,379,"SAN JOSE - CAMARINES SUR, CAMARINES SUR","5",,,,,,,,,,,,
626,"KIAMBA, SARANGANI",12,,,,,,,,,,,,626,"KIAMBA, SARANGANI","12",,,,,,,,,,,,626,"KIAMBA, SARANGANI","12",,,,,,,,,,,,
374,"POBLACION LILOY, ZAMBOANGA DEL NORTE",9,28.2,3.2,0.0,0.0,10.2,28.4,0.0,0.0,0.0,0.0,70,374,"POBLACION LILOY, ZAMBOANGA DEL NORTE","9",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,374,"POBLACION LILOY, ZAMBOANGA DEL NORTE","9",0.0,0.0,0.0,52.2,0.4,1.6,0.4,0.0,13.6,12.8,81,151
351,"CARMEN, BOHOL",7,,,,,,,,,,,,351,"CARMEN, BOHOL","7",,,,,,,,,,,,351,"CARMEN, BOHOL","7",,,,,,,,,,,,
967,"STA. CRUZ - MARINDUQUE, MARINDUQUE",4-B,,,,,,,,,,,,967,"STA. CRUZ - MARINDUQUE, MARINDUQUE","4-B",,,,,,,,,,,,967,"STA. CRUZ - MARINDUQUE, MARINDUQUE","4-B",,,,,,,,,,,,
328,"AYUTI, QUEZON",4-A,,,,,,,,,,,,328,"AYUTI, QUEZON","4-A",,,,,,,,,,,,328,"AYUTI, QUEZON","4-A",,,,,,,,,,,,
865,"ILAGAN, ISABELA",2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,865,"ILAGAN, ISABELA","2",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,865,"ILAGAN, ISABELA","2",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
934,"KAPATAGAN, LANAO DEL SUR",ARMM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,934,"KAPATAGAN, LANAO DEL SUR","ARMM",,,,,,,,,,,,934,"KAPATAGAN, LANAO DEL SUR","ARMM",,,,,,,,,,,,0
370,"SAN FRANCISCO, SURIGAO DEL NORTE",13,,,,,,,,,,,,370,"SAN FRANCISCO, SURIGAO DEL NORTE","13",,,,,,,,,,,,370,"SAN FRANCISCO, SURIGAO DEL NORTE","13",,,,,,,,,,,,
358,"DUMINGAG, ZAMBOANGA DEL SUR",9,,,,,,,,,,,,358,"DUMINGAG, ZAMBOANGA DEL SUR","9",,,,,,,,,,,,358,"DUMINGAG, ZAMBOANGA DEL SUR","9",,,,,,,,,,,,
338,"STA. BARBARA - PANGASINAN, PANGASINAN",1,,,,,,,,,,,,338,"STA. BARBARA - PANGASINAN, PANGASINAN","1",,,,,,,,,,,,338,"STA. BARBARA - PANGASINAN, PANGASINAN","1",,,,,,,,,,,,
353,"MALITBOG, SOUTHERN LEYTE",8,,,,,,,,,,,,353,"MALITBOG, SOUTHERN LEYTE","8",,,,,,,,,,,,353,"MALITBOG, SOUTHERN LEYTE","8",,,,,,,,,,,,
333,"BUCAY, ABRA",CAR,,,,,,,,,,,,333,"BUCAY, ABRA","CAR",,,,,,,,,,,,333,"BUCAY, ABRA","CAR",,,,,,,,2.0,,,2,2
1080,"SABLAYAN, OCCIDENTAL MINDORO",4-B,,,,,,,,,,,,1080,"SABLAYAN, OCCIDENTAL MINDORO","4-B",,,,,,,,,,,,1080,"SABLAYAN, OCCIDENTAL MINDORO","4-B",,,,,,,,,,,,
365,"BANAYBANAY, DAVAO ORIENTAL",11,,,,,,,,,,,,365,"BANAYBANAY, DAVAO ORIENTAL","11",,,,,,,,,,,,365,"BANAYBANAY, DAVAO ORIENTAL","11",,,,,,,,,,,,
867,"DANGCAGAN, BUKIDNON",10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,867,"DANGCAGAN, BUKIDNON","10",,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,867,"DANGCAGAN, BUKIDNON","10",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
319,"NAIC CAMPUS, CAVITE",4-A,,,,,,,,,,,,319,"NAIC CAMPUS, CAVITE","4-A",,,,,,,,,,,,319,"NAIC CAMPUS, CAVITE","4-A",,,,,,,,,,,,
502,"BAGABAG, NUEVA VIZCAYA",2,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,502,"BAGABAG, NUEVA VIZCAYA","2",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,502,"BAGABAG, NUEVA VIZCAYA","2",0.0,0.2,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.4,0.6
920,"GUIMBA, NUEVA ECIJA",3,0.0,0.0,0.0,0.0,9.4,13.8,12.8,0.0,6.4,15.4,57.8,920,"GUIMBA, NUEVA ECIJA","3",4.8,7.6,13.6,13.4,8.4,3.6,0.6,0.0,0.0,26.4,78.4,920,"GUIMBA, NUEVA ECIJA","3",3.8,0.0,7.4,16.0,1.2,0.0,3.4,14.0,37.8,0.8,84.4,220.6
381,"ARAKAN, COTABATO",12,,,,,,,,,,,,381,"ARAKAN, COTABATO","12",,,,,,,,,,,,381,"ARAKAN, COTABATO","12",,,,,,,,,,,,
341,"STA. MARIA - ILOCOS SUR, ILOCOS SUR",1,,,,,,,,,,,,341,"STA. MARIA - ILOCOS SUR, ILOCOS SUR","1",,,,,,,,,,,,341,"STA. MARIA - ILOCOS SUR, ILOCOS SUR","1",,,,,,,,,,,,
897,"ABUYUG, LEYTE",8,,,,,,,,,,,,897,"ABUYUG, LEYTE","8",,,,,,,,,,,,897,"ABUYUG, LEYTE","8",,,,,0.2,4.8,0.0,0.0,0.0,0.0,5,5
